year,champion,conference
2021,Baylor,B12
2020,,
2019,Virginia,ACC
2018,Villanova,Big East
2017,UNC,ACC
2016,Villanova,BE
2015,Duke,ACC
2014,UConn,Amer
2013,Louisville,BE
2012,Kentucky,ACC
2011,UConn,BE
2010,Duke,ACC
2009,UNC,ACC
2008,Kansas,B12
2007,Florida,SEC
2006,Florida,SEC
2005,UNC,ACC
2004,UConn,BE
2003,Syracuse,BE
2002,Maryland,ACC
