year,rank,airline
2020,1,Southwest
2020,2,Delta
2020,3,Alaska
2020,4,Spirit
2020,5,Allegiant
2020,6,American
2020,7,JetBlue
2020,8,Frontier
2020,9,American
2021,1,Delta
2021,2,Alaska
2021,3,Southwest
2021,4,United
2021,5,Allegiant
2021,6,American
2021,7,Frontier
2021,8,Spirit
2021,9,JetBlue
2022,1,Delta
2022,2,Alaska
2022,3,Southwest
2022,4,United
2022,5,Allegiant
2022,6,American
2022,7,Spirit
2022,8,Frontier
2022,9,JetBlue
