RANK,AIRLINE,ON-TIME ARRIVALS,CANCELED FLIGHTS,EXTREME DELAYS,2-HOUR TARMAC DELAYS,MISHANDLED BAGGAGE,INVOLUNTARY BUMPING,COMPLAINTS,AMENITIES
1,Delta,1,1,2,2,5,1,2,3
2,Alaska,2,2,1,3,8,5,3,2
3,Southwest,6,7,4,1,3,8,1,5
4,United,3,3,3,8,6,3,5,4
5,Allegiant,9,9,7,4,1,1,6,7
6,American,4,5,4,7,9,7,4,6
7,Spirit,5,6,6,6,4,6,8,9
8,Frontier,7,3,8,5,2,9,9,8
9,JetBlue,8,8,9,9,7,4,7,1
