team,mp_win_cup
NYR,15%
DAL,9.90%
CAR,9.60%
VAN,9.20%
FLA,9%
TOR,8.20%
VGK,7.80%
EDM,7.70%
COL,7.50%
NSH,4.50%
BOS,3.60%
TBL,3.50%
WPG,3.20%
LAK,1.10%
NYI,0.10%
WSH,0%
STL,0%
DET,0%
MIN,0%
PIT,0%
PHI,0%
BUF,0%
NJD,0%
CGY,0%
SEA,0%
OTT,0%
ARI,0%
MTL,0%
CBJ,0%
ANA,0%
CHI,0%
SJS,0%
