Season,number_of_league_teams,canadian_teams,,
2023,32,7,,
2022,32,7,,
2021,31,7,,
2020,31,7,,
2019,31,7,,
2018,31,7,,
2017,30,7,,
2016,30,7,,
2015,30,7,,
2014,30,7,,
2013,30,7,,
2012,30,7,,
2011,30,7,,
2010,30,6,,
2009,30,6,,
2008,30,6,,
2007,30,6,,
2006,30,6,,
2005,30,6,,
2004,30,6,,
2003,30,6,,
2002,30,6,,
2001,30,6,,
2000,30,6,,
1999,28,6,,
1998,27,7,,
1997,27,7,,
1996,26,7,,
1995,26,7,,
1994,26,8,,
1993,26,8,,
