year,champion,conference,ken_pom_rank
2022,Kansas,Big 12,3
2021,Baylor,Big 12,2
2020,,,
2019,Virginia,ACC,1
2018,Villanova,Big East,1
2017,UNC,ACC,3
2016,Villanova,Big East,1
2015,Duke,ACC,3
2014,UConn,AAC,15
2013,Louisville,Big East,1
2012,Kentucky,ACC,1
2011,UConn,Big East,10
2010,Duke,ACC,1
2009,UNC,ACC,1
2008,Kansas,Big 12,1
2007,Florida,SEC,2
2006,Florida,SEC,1
2005,UNC,ACC,1
2004,UConn,Big East,2
2003,Syracuse,Big East,8
2002,Maryland,ACC,3
