team_abbr,pinnacle_conf_odds,pinnacle_sb_odds,np_conf_odds,np_sb_odds,opta_conf_odds,opta_sb_odds,pff_conf_odds,pff_sb_odds,sumer_conf_odds,sumer_sb_odds,fpi_conf_odds,fpi_sb_odds
SF,-355,143,0.69,0.32,0.704,0.451,0.58,0.33,0.713,0.375,0.741,0.411
KC,180,388,0.23,0.1,0.501,0.212,0.42,0.23,0.427,0.215,0.365,0.164
BAL,-205,179,0.77,0.47,0.499,0.198,0.58,0.33,0.573,0.296,0.636,0.34
DET,295,780,0.31,0.11,0.296,0.139,0.37,0.15,0.287,0.113,0.259,0.085
