date,home_logo,home,away_logo,away,home_score,away_score,league,sport,broadcast,action_time,commercial_time,total_time,action_min,commercial_min,total_min,action_share,commercial_share,action_total,commercial_total,action_average,commercial_average,net_action
10/26/24,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/86.png,Real Madrid,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/83.png,Barcelona,0,4,La Liga,Soccer,ESPN+,1:34:00,0:15:00,1:49:00,94,15,109,86%,14%,2,1,47,15,79
10/26/24,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png,Oregon,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/356.png,Illinois,38,9,NCAAF,College Football,CBS,2:11:33,1:01:42,3:13:15,131.6,61.7,193.3,68%,32%,25,24,5.3,2.6,69.85
10/26/24,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/lad.png,Dodgers,https://a.espncdn.com/combiner/i?img=/i/teamlogos/mlb/500/nyy.png,Yankees,4,2,MLB,Baseball,FOX,2:02:47,0:49:13,2:52:00,122.8,49.2,172,71%,29%,21,20,5.8,2.5,73.57
10/26/24,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/vgk.png,Golden Knights,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nhl/500/sj.png,Sharks,7,3,NHL,Hockey,CSNCA,1:38:19,0:47:54,2:26:13,98.3,47.9,146.2,67%,33%,11,10,8.9,4.8,50.4
10/27/24,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,49ers,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,Cowboys,34,20,NFL,NFL Football,NBC,2:12:39,1:01:18,3:13:57,132.7,61.3,194,68%,32%,23,22,5.8,2.8,56.1
11/1/24,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/den.png&,Nuggets,https://a.espncdn.com/combiner/i?img=/i/teamlogos/nba/500/min.png&,Timberwolves,116,119,NBA,Basketball,ESPN,1:40:28,0:44:22,2:24:50,100.5,44.4,144.8,69%,31%,17,16,5.9,2.8,71.4
