team,odds
Colorado Avalanche,327
Florida Panthers,537
Calgary Flames,712
Toronto Maple Leafs,975
Tampa Bay Lightning,1025
Carolina Hurricanes,1125
New York Rangers,1600
Minnesota Wild,1600
Boston Bruins,1650
Edmonton Oilers,1775
Pittsburgh Penguins,1950
St. Louis Blues,2000
Washington Capitals,3500
Nashville Predators,4625
Dallas Stars,4875
Los Angeles Kings,5500
