Date,Visitor,Home
12/30/21,Nashville Predators,Columbus Blue Jackets
12/30/21,Tampa Bay Lightning,Florida Panthers
12/30/21,Vancouver Canucks,Los Angeles Kings
12/30/21,Buffalo Sabres,New York Islanders
12/30/21,Calgary Flames,Seattle Kraken
12/30/21,Philadelphia Flyers,San Jose Sharks
12/31/21,Winnipeg Jets,Calgary Flames
12/31/21,Colorado Avalanche,Dallas Stars
12/31/21,Washington Capitals,Detroit Red Wings
12/31/21,Edmonton Oilers,New Jersey Devils
12/31/21,Pittsburgh Penguins,Ottawa Senators
12/31/21,New York Rangers,Tampa Bay Lightning
12/31/21,Anaheim Ducks,Vegas Golden Knights
1/1/22,Buffalo Sabres,Boston Bruins
1/1/22,Carolina Hurricanes,Columbus Blue Jackets
1/1/22,Montreal Canadiens,Florida Panthers
1/1/22,Philadelphia Flyers,Los Angeles Kings
1/1/22,St. Louis Blues,Minnesota Wild
1/1/22,Chicago Blackhawks,Nashville Predators
1/1/22,Edmonton Oilers,New York Islanders
1/1/22,Vancouver Canucks,Seattle Kraken
1/1/22,Ottawa Senators,Toronto Maple Leafs
1/2/22,Dallas Stars,Arizona Coyotes
1/2/22,Calgary Flames,Chicago Blackhawks
1/2/22,Anaheim Ducks,Colorado Avalanche
1/2/22,Boston Bruins,Detroit Red Wings
1/2/22,Tampa Bay Lightning,New York Rangers
1/2/22,San Jose Sharks,Pittsburgh Penguins
1/2/22,Winnipeg Jets,Vegas Golden Knights
1/2/22,New Jersey Devils,Washington Capitals
1/3/22,Edmonton Oilers,New York Rangers
1/3/22,Minnesota Wild,Ottawa Senators
1/3/22,Carolina Hurricanes,Toronto Maple Leafs
1/4/22,Philadelphia Flyers,Anaheim Ducks
1/4/22,Winnipeg Jets,Arizona Coyotes
1/4/22,New Jersey Devils,Boston Bruins
1/4/22,Tampa Bay Lightning,Columbus Blue Jackets
1/4/22,Colorado Avalanche,Chicago Blackhawks
1/4/22,San Jose Sharks,Detroit Red Wings
1/4/22,Calgary Flames,Florida Panthers
1/4/22,Washington Capitals,Montreal Canadiens
1/4/22,New York Islanders,Seattle Kraken
1/4/22,Nashville Predators,Vegas Golden Knights
1/5/22,St. Louis Blues,Pittsburgh Penguins
1/5/22,Edmonton Oilers,Toronto Maple Leafs
1/5/22,New York Islanders,Vancouver Canucks
1/6/22,Detroit Red Wings,Anaheim Ducks
1/6/22,Chicago Blackhawks,Arizona Coyotes
1/6/22,Minnesota Wild,Boston Bruins
1/6/22,San Jose Sharks,Buffalo Sabres
1/6/22,Winnipeg Jets,Colorado Avalanche
1/6/22,Florida Panthers,Dallas Stars
1/6/22,Nashville Predators,Los Angeles Kings
1/6/22,Toronto Maple Leafs,Montreal Canadiens
1/6/22,Columbus Blue Jackets,New Jersey Devils
1/6/22,Pittsburgh Penguins,Philadelphia Flyers
1/6/22,Ottawa Senators,Seattle Kraken
1/6/22,Calgary Flames,Tampa Bay Lightning
1/6/22,New York Rangers,Vegas Golden Knights
1/7/22,Calgary Flames,Carolina Hurricanes
1/7/22,Washington Capitals,St. Louis Blues
1/8/22,New York Rangers,Anaheim Ducks
1/8/22,Nashville Predators,Arizona Coyotes
1/8/22,Florida Panthers,Carolina Hurricanes
1/8/22,New Jersey Devils,Columbus Blue Jackets
1/8/22,Toronto Maple Leafs,Colorado Avalanche
1/8/22,Pittsburgh Penguins,Dallas Stars
1/8/22,New York Islanders,Edmonton Oilers
1/8/22,Detroit Red Wings,Los Angeles Kings
1/8/22,Washington Capitals,Minnesota Wild
1/8/22,Buffalo Sabres,Montreal Canadiens
1/8/22,San Jose Sharks,Philadelphia Flyers
1/8/22,Boston Bruins,Tampa Bay Lightning
1/8/22,Ottawa Senators,Vancouver Canucks
1/8/22,Chicago Blackhawks,Vegas Golden Knights
1/8/22,Seattle Kraken,Winnipeg Jets
1/9/22,Dallas Stars,St. Louis Blues
1/10/22,Seattle Kraken,Colorado Avalanche
1/10/22,Ottawa Senators,Edmonton Oilers
1/10/22,New York Rangers,Los Angeles Kings
1/10/22,Columbus Blue Jackets,Montreal Canadiens
1/10/22,Tampa Bay Lightning,New Jersey Devils
1/10/22,Minnesota Wild,Winnipeg Jets
1/10/22,Boston Bruins,Washington Capitals
1/11/22,Pittsburgh Penguins,Anaheim Ducks
1/11/22,Tampa Bay Lightning,Buffalo Sabres
1/11/22,Chicago Blackhawks,Columbus Blue Jackets
1/11/22,New York Islanders,Calgary Flames
1/11/22,Vancouver Canucks,Florida Panthers
1/11/22,Colorado Avalanche,Nashville Predators
1/11/22,Carolina Hurricanes,Philadelphia Flyers
1/11/22,Detroit Red Wings,San Jose Sharks
1/11/22,Toronto Maple Leafs,Vegas Golden Knights
1/12/22,Toronto Maple Leafs,Arizona Coyotes
1/12/22,Seattle Kraken,Dallas Stars
1/12/22,Minnesota Wild,Edmonton Oilers
1/12/22,Boston Bruins,Montreal Canadiens
1/13/22,Philadelphia Flyers,Boston Bruins
1/13/22,Columbus Blue Jackets,Carolina Hurricanes
1/13/22,Ottawa Senators,Calgary Flames
1/13/22,Montreal Canadiens,Chicago Blackhawks
1/13/22,Winnipeg Jets,Detroit Red Wings
1/13/22,Pittsburgh Penguins,Los Angeles Kings
1/13/22,Buffalo Sabres,Nashville Predators
1/13/22,New Jersey Devils,New York Islanders
1/13/22,New York Rangers,San Jose Sharks
1/13/22,Seattle Kraken,St. Louis Blues
1/13/22,Vancouver Canucks,Tampa Bay Lightning
1/14/22,Arizona Coyotes,Colorado Avalanche
1/14/22,Vegas Golden Knights,Edmonton Oilers
1/14/22,Dallas Stars,Florida Panthers
1/14/22,Anaheim Ducks,Minnesota Wild
1/15/22,Colorado Avalanche,Arizona Coyotes
1/15/22,Nashville Predators,Boston Bruins
1/15/22,Vancouver Canucks,Carolina Hurricanes
1/15/22,Vegas Golden Knights,Calgary Flames
1/15/22,Anaheim Ducks,Chicago Blackhawks
1/15/22,Buffalo Sabres,Detroit Red Wings
1/15/22,Columbus Blue Jackets,Florida Panthers
1/15/22,New Jersey Devils,Montreal Canadiens
1/15/22,Washington Capitals,New York Islanders
1/15/22,New York Rangers,Philadelphia Flyers
1/15/22,Los Angeles Kings,Seattle Kraken
1/15/22,Pittsburgh Penguins,San Jose Sharks
1/15/22,Toronto Maple Leafs,St. Louis Blues
1/15/22,Dallas Stars,Tampa Bay Lightning
1/15/22,Ottawa Senators,Winnipeg Jets
1/16/22,Edmonton Oilers,Winnipeg Jets
1/16/22,Vancouver Canucks,Washington Capitals
1/17/22,Montreal Canadiens,Arizona Coyotes
1/17/22,Detroit Red Wings,Buffalo Sabres
1/17/22,Minnesota Wild,Colorado Avalanche
1/17/22,Philadelphia Flyers,New York Islanders
1/17/22,Chicago Blackhawks,Seattle Kraken
1/17/22,Los Angeles Kings,San Jose Sharks
1/17/22,Nashville Predators,St. Louis Blues
1/17/22,New Jersey Devils,Toronto Maple Leafs
1/17/22,Pittsburgh Penguins,Vegas Golden Knights
1/18/22,Carolina Hurricanes,Boston Bruins
1/18/22,Florida Panthers,Calgary Flames
1/18/22,Montreal Canadiens,Dallas Stars
1/18/22,Chicago Blackhawks,Edmonton Oilers
1/18/22,Tampa Bay Lightning,Los Angeles Kings
1/18/22,Vancouver Canucks,Nashville Predators
1/18/22,Columbus Blue Jackets,New York Islanders
1/18/22,Buffalo Sabres,Ottawa Senators
1/18/22,Detroit Red Wings,Philadelphia Flyers
1/18/22,Winnipeg Jets,Washington Capitals
1/19/22,Colorado Avalanche,Anaheim Ducks
1/19/22,Arizona Coyotes,New Jersey Devils
1/19/22,Toronto Maple Leafs,New York Rangers
1/20/22,Washington Capitals,Boston Bruins
1/20/22,Dallas Stars,Buffalo Sabres
1/20/22,Florida Panthers,Edmonton Oilers
1/20/22,Colorado Avalanche,Los Angeles Kings
1/20/22,Winnipeg Jets,Nashville Predators
1/20/22,Columbus Blue Jackets,Philadelphia Flyers
1/20/22,Ottawa Senators,Pittsburgh Penguins
1/20/22,San Jose Sharks,Seattle Kraken
1/20/22,Montreal Canadiens,Vegas Golden Knights
1/21/22,Tampa Bay Lightning,Anaheim Ducks
1/21/22,New York Rangers,Carolina Hurricanes
1/21/22,Pittsburgh Penguins,Columbus Blue Jackets
1/21/22,Minnesota Wild,Chicago Blackhawks
1/21/22,Dallas Stars,Detroit Red Wings
1/21/22,Arizona Coyotes,New York Islanders
1/21/22,St. Louis Blues,Seattle Kraken
1/21/22,Florida Panthers,Vancouver Canucks
1/22/22,Winnipeg Jets,Boston Bruins
1/22/22,Philadelphia Flyers,Buffalo Sabres
1/22/22,Montreal Canadiens,Colorado Avalanche
1/22/22,Calgary Flames,Edmonton Oilers
1/22/22,Chicago Blackhawks,Minnesota Wild
1/22/22,Carolina Hurricanes,New Jersey Devils
1/22/22,Detroit Red Wings,Nashville Predators
1/22/22,Arizona Coyotes,New York Rangers
1/22/22,Tampa Bay Lightning,San Jose Sharks
1/22/22,New York Islanders,Toronto Maple Leafs
1/22/22,Ottawa Senators,Washington Capitals
1/23/22,Ottawa Senators,Columbus Blue Jackets
1/23/22,Los Angeles Kings,New Jersey Devils
1/23/22,Winnipeg Jets,Pittsburgh Penguins
1/23/22,Florida Panthers,Seattle Kraken
1/23/22,St. Louis Blues,Vancouver Canucks
1/24/22,Anaheim Ducks,Boston Bruins
1/24/22,St. Louis Blues,Calgary Flames
1/24/22,Chicago Blackhawks,Colorado Avalanche
1/24/22,Montreal Canadiens,Minnesota Wild
1/24/22,Los Angeles Kings,New York Rangers
1/24/22,Dallas Stars,Philadelphia Flyers
1/24/22,Vegas Golden Knights,Washington Capitals
1/25/22,Vegas Golden Knights,Carolina Hurricanes
1/25/22,Dallas Stars,New Jersey Devils
1/25/22,Philadelphia Flyers,New York Islanders
1/25/22,Buffalo Sabres,Ottawa Senators
1/25/22,Arizona Coyotes,Pittsburgh Penguins
1/25/22,Nashville Predators,Seattle Kraken
1/25/22,Edmonton Oilers,Vancouver Canucks
1/25/22,Florida Panthers,Winnipeg Jets
1/26/22,Calgary Flames,Columbus Blue Jackets
1/26/22,Boston Bruins,Colorado Avalanche
1/26/22,Chicago Blackhawks,Detroit Red Wings
1/26/22,Anaheim Ducks,Toronto Maple Leafs
1/26/22,San Jose Sharks,Washington Capitals
1/27/22,New York Rangers,Columbus Blue Jackets
1/27/22,Nashville Predators,Edmonton Oilers
1/27/22,Vegas Golden Knights,Florida Panthers
1/27/22,Anaheim Ducks,Montreal Canadiens
1/27/22,Los Angeles Kings,New York Islanders
1/27/22,Carolina Hurricanes,Ottawa Senators
1/27/22,Seattle Kraken,Pittsburgh Penguins
1/27/22,Calgary Flames,St. Louis Blues
1/27/22,New Jersey Devils,Tampa Bay Lightning
1/27/22,Vancouver Canucks,Winnipeg Jets
1/28/22,Boston Bruins,Arizona Coyotes
1/28/22,Colorado Avalanche,Chicago Blackhawks
1/28/22,Washington Capitals,Dallas Stars
1/28/22,Minnesota Wild,New York Rangers
1/28/22,Detroit Red Wings,Pittsburgh Penguins
1/29/22,Buffalo Sabres,Arizona Coyotes
1/29/22,New Jersey Devils,Carolina Hurricanes
1/29/22,Vancouver Canucks,Calgary Flames
1/29/22,Toronto Maple Leafs,Detroit Red Wings
1/29/22,San Jose Sharks,Florida Panthers
1/29/22,Edmonton Oilers,Montreal Canadiens
1/29/22,Seattle Kraken,New York Islanders
1/29/22,Anaheim Ducks,Ottawa Senators
1/29/22,Los Angeles Kings,Philadelphia Flyers
1/29/22,Winnipeg Jets,St. Louis Blues
1/29/22,Vegas Golden Knights,Tampa Bay Lightning
1/30/22,San Jose Sharks,Carolina Hurricanes
1/30/22,Buffalo Sabres,Colorado Avalanche
1/30/22,Boston Bruins,Dallas Stars
1/30/22,Columbus Blue Jackets,Montreal Canadiens
1/30/22,Minnesota Wild,New York Islanders
1/30/22,Seattle Kraken,New York Rangers
1/30/22,Los Angeles Kings,Pittsburgh Penguins
1/30/22,Chicago Blackhawks,St. Louis Blues
1/31/22,Florida Panthers,Columbus Blue Jackets
1/31/22,Vancouver Canucks,Chicago Blackhawks
1/31/22,Anaheim Ducks,Detroit Red Wings
1/31/22,Edmonton Oilers,Ottawa Senators
2/1/22,Seattle Kraken,Boston Bruins
2/1/22,Arizona Coyotes,Colorado Avalanche
2/1/22,Calgary Flames,Dallas Stars
2/1/22,St. Louis Blues,Montreal Canadiens
2/1/22,Toronto Maple Leafs,New Jersey Devils
2/1/22,Vancouver Canucks,Nashville Predators
2/1/22,Ottawa Senators,New York Islanders
2/1/22,Florida Panthers,New York Rangers
2/1/22,Winnipeg Jets,Philadelphia Flyers
2/1/22,Washington Capitals,Pittsburgh Penguins
2/1/22,San Jose Sharks,Tampa Bay Lightning
2/1/22,Buffalo Sabres,Vegas Golden Knights
2/2/22,Calgary Flames,Arizona Coyotes
2/2/22,Minnesota Wild,Chicago Blackhawks
2/2/22,Los Angeles Kings,Detroit Red Wings
2/2/22,Edmonton Oilers,Washington Capitals
2/23/22,Los Angeles Kings,Arizona Coyotes
2/23/22,Winnipeg Jets,Dallas Stars
2/23/22,Philadelphia Flyers,Detroit Red Wings
2/23/22,Edmonton Oilers,Tampa Bay Lightning
2/24/22,Columbus Blue Jackets,Florida Panthers
2/24/22,Pittsburgh Penguins,New Jersey Devils
2/24/22,Dallas Stars,Nashville Predators
2/24/22,Washington Capitals,New York Rangers
2/24/22,Boston Bruins,Seattle Kraken
2/24/22,New York Islanders,San Jose Sharks
2/24/22,Minnesota Wild,Toronto Maple Leafs
2/24/22,Calgary Flames,Vancouver Canucks
2/25/22,Los Angeles Kings,Anaheim Ducks
2/25/22,Vegas Golden Knights,Arizona Coyotes
2/25/22,Columbus Blue Jackets,Carolina Hurricanes
2/25/22,New Jersey Devils,Chicago Blackhawks
2/25/22,Winnipeg Jets,Colorado Avalanche
2/25/22,Buffalo Sabres,St. Louis Blues
2/26/22,Minnesota Wild,Calgary Flames
2/26/22,Edmonton Oilers,Florida Panthers
2/26/22,New York Islanders,Los Angeles Kings
2/26/22,Tampa Bay Lightning,Nashville Predators
2/26/22,Montreal Canadiens,Ottawa Senators
2/26/22,Washington Capitals,Philadelphia Flyers
2/26/22,New York Rangers,Pittsburgh Penguins
2/26/22,Boston Bruins,San Jose Sharks
2/26/22,Detroit Red Wings,Toronto Maple Leafs
2/26/22,Colorado Avalanche,Vegas Golden Knights
2/27/22,New York Islanders,Anaheim Ducks
2/27/22,Winnipeg Jets,Arizona Coyotes
2/27/22,Edmonton Oilers,Carolina Hurricanes
2/27/22,Pittsburgh Penguins,Columbus Blue Jackets
2/27/22,St. Louis Blues,Chicago Blackhawks
2/27/22,Buffalo Sabres,Dallas Stars
2/27/22,Vancouver Canucks,New York Rangers
2/27/22,Seattle Kraken,San Jose Sharks
2/28/22,Boston Bruins,Los Angeles Kings
2/28/22,Vancouver Canucks,New Jersey Devils
2/28/22,St. Louis Blues,Philadelphia Flyers
2/28/22,Toronto Maple Leafs,Washington Capitals
3/1/22,Boston Bruins,Anaheim Ducks
3/1/22,New Jersey Devils,Columbus Blue Jackets
3/1/22,New York Islanders,Colorado Avalanche
3/1/22,Carolina Hurricanes,Detroit Red Wings
3/1/22,Calgary Flames,Minnesota Wild
3/1/22,Edmonton Oilers,Philadelphia Flyers
3/1/22,Ottawa Senators,Tampa Bay Lightning
3/1/22,San Jose Sharks,Vegas Golden Knights
3/1/22,Montreal Canadiens,Winnipeg Jets
3/2/22,Los Angeles Kings,Dallas Stars
3/2/22,St. Louis Blues,New York Rangers
3/2/22,Nashville Predators,Seattle Kraken
3/2/22,Buffalo Sabres,Toronto Maple Leafs
3/3/22,Colorado Avalanche,Arizona Coyotes
3/3/22,Montreal Canadiens,Calgary Flames
3/3/22,Edmonton Oilers,Chicago Blackhawks
3/3/22,Ottawa Senators,Florida Panthers
3/3/22,Vancouver Canucks,New York Islanders
3/3/22,Minnesota Wild,Philadelphia Flyers
3/3/22,Pittsburgh Penguins,Tampa Bay Lightning
3/3/22,Boston Bruins,Vegas Golden Knights
3/3/22,Carolina Hurricanes,Washington Capitals
3/4/22,Vegas Golden Knights,Anaheim Ducks
3/4/22,Minnesota Wild,Buffalo Sabres
3/4/22,Pittsburgh Penguins,Carolina Hurricanes
3/4/22,Los Angeles Kings,Columbus Blue Jackets
3/4/22,New Jersey Devils,New York Rangers
3/4/22,Detroit Red Wings,Tampa Bay Lightning
3/4/22,Dallas Stars,Winnipeg Jets
3/5/22,Ottawa Senators,Arizona Coyotes
3/5/22,Boston Bruins,Columbus Blue Jackets
3/5/22,Calgary Flames,Colorado Avalanche
3/5/22,Montreal Canadiens,Edmonton Oilers
3/5/22,Detroit Red Wings,Florida Panthers
3/5/22,St. Louis Blues,New York Islanders
3/5/22,Chicago Blackhawks,Philadelphia Flyers
3/5/22,Nashville Predators,San Jose Sharks
3/5/22,Vancouver Canucks,Toronto Maple Leafs
3/5/22,Seattle Kraken,Washington Capitals
3/6/22,San Jose Sharks,Anaheim Ducks
3/6/22,Los Angeles Kings,Buffalo Sabres
3/6/22,Seattle Kraken,Carolina Hurricanes
3/6/22,Tampa Bay Lightning,Chicago Blackhawks
3/6/22,Dallas Stars,Minnesota Wild
3/6/22,St. Louis Blues,New Jersey Devils
3/6/22,Ottawa Senators,Vegas Golden Knights
3/6/22,New York Rangers,Winnipeg Jets
3/7/22,Los Angeles Kings,Boston Bruins
3/7/22,Florida Panthers,Buffalo Sabres
3/7/22,Toronto Maple Leafs,Columbus Blue Jackets
3/7/22,Colorado Avalanche,New York Islanders
3/8/22,Washington Capitals,Calgary Flames
3/8/22,Anaheim Ducks,Chicago Blackhawks
3/8/22,Arizona Coyotes,Detroit Red Wings
3/8/22,New York Rangers,Minnesota Wild
3/8/22,Colorado Avalanche,New Jersey Devils
3/8/22,Dallas Stars,Nashville Predators
3/8/22,Vegas Golden Knights,Philadelphia Flyers
3/8/22,Florida Panthers,Pittsburgh Penguins
3/8/22,Ottawa Senators,St. Louis Blues
3/8/22,Seattle Kraken,Toronto Maple Leafs
3/8/22,Tampa Bay Lightning,Winnipeg Jets
3/9/22,Washington Capitals,Edmonton Oilers
3/9/22,Montreal Canadiens,Vancouver Canucks
3/10/22,Chicago Blackhawks,Boston Bruins
3/10/22,Vegas Golden Knights,Buffalo Sabres
3/10/22,Colorado Avalanche,Carolina Hurricanes
3/10/22,Tampa Bay Lightning,Calgary Flames
3/10/22,Minnesota Wild,Detroit Red Wings
3/10/22,Philadelphia Flyers,Florida Panthers
3/10/22,San Jose Sharks,Los Angeles Kings
3/10/22,Winnipeg Jets,New Jersey Devils
3/10/22,Anaheim Ducks,Nashville Predators
3/10/22,Pittsburgh Penguins,New York Islanders
3/10/22,Seattle Kraken,Ottawa Senators
3/10/22,New York Rangers,St. Louis Blues
3/10/22,Arizona Coyotes,Toronto Maple Leafs
3/11/22,Minnesota Wild,Columbus Blue Jackets
3/11/22,Winnipeg Jets,New York Islanders
3/11/22,Vegas Golden Knights,Pittsburgh Penguins
3/11/22,Washington Capitals,Vancouver Canucks
3/12/22,Arizona Coyotes,Boston Bruins
3/12/22,Philadelphia Flyers,Carolina Hurricanes
3/12/22,Detroit Red Wings,Calgary Flames
3/12/22,New York Rangers,Dallas Stars
3/12/22,Tampa Bay Lightning,Edmonton Oilers
3/12/22,Seattle Kraken,Montreal Canadiens
3/12/22,Anaheim Ducks,New Jersey Devils
3/12/22,St. Louis Blues,Nashville Predators
3/12/22,Chicago Blackhawks,Ottawa Senators
3/12/22,Los Angeles Kings,San Jose Sharks
3/13/22,Toronto Maple Leafs,Buffalo Sabres
3/13/22,Vegas Golden Knights,Columbus Blue Jackets
3/13/22,Calgary Flames,Colorado Avalanche
3/13/22,Florida Panthers,Los Angeles Kings
3/13/22,Nashville Predators,Minnesota Wild
3/13/22,Anaheim Ducks,New York Islanders
3/13/22,Montreal Canadiens,Philadelphia Flyers
3/13/22,Carolina Hurricanes,Pittsburgh Penguins
3/13/22,Winnipeg Jets,St. Louis Blues
3/13/22,Tampa Bay Lightning,Vancouver Canucks
3/14/22,Arizona Coyotes,Ottawa Senators
3/15/22,Boston Bruins,Chicago Blackhawks
3/15/22,Detroit Red Wings,Edmonton Oilers
3/15/22,Colorado Avalanche,Los Angeles Kings
3/15/22,Arizona Coyotes,Montreal Canadiens
3/15/22,Pittsburgh Penguins,Nashville Predators
3/15/22,Anaheim Ducks,New York Rangers
3/15/22,Florida Panthers,San Jose Sharks
3/15/22,Dallas Stars,Toronto Maple Leafs
3/15/22,New Jersey Devils,Vancouver Canucks
3/15/22,Vegas Golden Knights,Winnipeg Jets
3/15/22,New York Islanders,Washington Capitals
3/16/22,New Jersey Devils,Calgary Flames
3/16/22,Boston Bruins,Minnesota Wild
3/16/22,Columbus Blue Jackets,Ottawa Senators
3/16/22,Tampa Bay Lightning,Seattle Kraken
3/17/22,Washington Capitals,Columbus Blue Jackets
3/17/22,Buffalo Sabres,Edmonton Oilers
3/17/22,San Jose Sharks,Los Angeles Kings
3/17/22,Dallas Stars,Montreal Canadiens
3/17/22,Nashville Predators,Philadelphia Flyers
3/17/22,Pittsburgh Penguins,St. Louis Blues
3/17/22,Carolina Hurricanes,Toronto Maple Leafs
3/17/22,Detroit Red Wings,Vancouver Canucks
3/17/22,Florida Panthers,Vegas Golden Knights
3/18/22,Florida Panthers,Anaheim Ducks
3/18/22,Washington Capitals,Carolina Hurricanes
3/18/22,Buffalo Sabres,Calgary Flames
3/18/22,Philadelphia Flyers,Ottawa Senators
3/18/22,Colorado Avalanche,San Jose Sharks
3/18/22,Boston Bruins,Winnipeg Jets
3/19/22,Pittsburgh Penguins,Arizona Coyotes
3/19/22,St. Louis Blues,Columbus Blue Jackets
3/19/22,New Jersey Devils,Edmonton Oilers
3/19/22,Chicago Blackhawks,Minnesota Wild
3/19/22,Ottawa Senators,Montreal Canadiens
3/19/22,Toronto Maple Leafs,Nashville Predators
3/19/22,Dallas Stars,New York Islanders
3/19/22,Detroit Red Wings,Seattle Kraken
3/19/22,New York Rangers,Tampa Bay Lightning
3/19/22,Calgary Flames,Vancouver Canucks
3/19/22,Los Angeles Kings,Vegas Golden Knights
3/20/22,New York Rangers,Carolina Hurricanes
3/20/22,Winnipeg Jets,Chicago Blackhawks
3/20/22,New York Islanders,Philadelphia Flyers
3/20/22,Arizona Coyotes,San Jose Sharks
3/20/22,Buffalo Sabres,Vancouver Canucks
3/20/22,Dallas Stars,Washington Capitals
3/21/22,Nashville Predators,Anaheim Ducks
3/21/22,Montreal Canadiens,Boston Bruins
3/21/22,Edmonton Oilers,Colorado Avalanche
3/21/22,Vegas Golden Knights,Minnesota Wild
3/22/22,Tampa Bay Lightning,Carolina Hurricanes
3/22/22,San Jose Sharks,Calgary Flames
3/22/22,Edmonton Oilers,Dallas Stars
3/22/22,Philadelphia Flyers,Detroit Red Wings
3/22/22,Nashville Predators,Los Angeles Kings
3/22/22,New York Rangers,New Jersey Devils
3/22/22,Boston Bruins,New York Islanders
3/22/22,Columbus Blue Jackets,Pittsburgh Penguins
3/22/22,Vegas Golden Knights,Winnipeg Jets
3/22/22,St. Louis Blues,Washington Capitals
3/23/22,Chicago Blackhawks,Anaheim Ducks
3/23/22,Seattle Kraken,Arizona Coyotes
3/23/22,Pittsburgh Penguins,Buffalo Sabres
3/23/22,Vancouver Canucks,Colorado Avalanche
3/23/22,New Jersey Devils,Toronto Maple Leafs
3/24/22,Tampa Bay Lightning,Boston Bruins
3/24/22,Dallas Stars,Carolina Hurricanes
3/24/22,San Jose Sharks,Edmonton Oilers
3/24/22,Chicago Blackhawks,Los Angeles Kings
3/24/22,Vancouver Canucks,Minnesota Wild
3/24/22,Florida Panthers,Montreal Canadiens
3/24/22,Ottawa Senators,New York Islanders
3/24/22,Philadelphia Flyers,St. Louis Blues
3/24/22,Nashville Predators,Vegas Golden Knights
3/25/22,Seattle Kraken,Anaheim Ducks
3/25/22,Washington Capitals,Buffalo Sabres
3/25/22,Arizona Coyotes,Calgary Flames
3/25/22,Philadelphia Flyers,Colorado Avalanche
3/25/22,Pittsburgh Penguins,New York Rangers
3/25/22,Columbus Blue Jackets,Winnipeg Jets
3/26/22,New York Islanders,Boston Bruins
3/26/22,Edmonton Oilers,Calgary Flames
3/26/22,Vancouver Canucks,Dallas Stars
3/26/22,Tampa Bay Lightning,Detroit Red Wings
3/26/22,Seattle Kraken,Los Angeles Kings
3/26/22,Columbus Blue Jackets,Minnesota Wild
3/26/22,Toronto Maple Leafs,Montreal Canadiens
3/26/22,Florida Panthers,Ottawa Senators
3/26/22,Anaheim Ducks,San Jose Sharks
3/26/22,Carolina Hurricanes,St. Louis Blues
3/26/22,Chicago Blackhawks,Vegas Golden Knights
3/26/22,New Jersey Devils,Washington Capitals
3/27/22,Colorado Avalanche,Minnesota Wild
3/27/22,Montreal Canadiens,New Jersey Devils
3/27/22,Philadelphia Flyers,Nashville Predators
3/27/22,Tampa Bay Lightning,New York Islanders
3/27/22,Buffalo Sabres,New York Rangers
3/27/22,Detroit Red Wings,Pittsburgh Penguins
3/27/22,Florida Panthers,Toronto Maple Leafs
3/27/22,Arizona Coyotes,Winnipeg Jets
3/28/22,Buffalo Sabres,Chicago Blackhawks
3/28/22,Arizona Coyotes,Edmonton Oilers
3/28/22,Seattle Kraken,Los Angeles Kings
3/28/22,Vancouver Canucks,St. Louis Blues
3/28/22,Carolina Hurricanes,Washington Capitals
3/29/22,Dallas Stars,Anaheim Ducks
3/29/22,Toronto Maple Leafs,Boston Bruins
3/29/22,New York Islanders,Columbus Blue Jackets
3/29/22,Colorado Avalanche,Calgary Flames
3/29/22,Montreal Canadiens,Florida Panthers
3/29/22,Philadelphia Flyers,Minnesota Wild
3/29/22,Ottawa Senators,Nashville Predators
3/29/22,New York Rangers,Pittsburgh Penguins
3/29/22,Carolina Hurricanes,Tampa Bay Lightning
3/30/22,San Jose Sharks,Arizona Coyotes
3/30/22,Winnipeg Jets,Buffalo Sabres
3/30/22,New York Rangers,Detroit Red Wings
3/30/22,Los Angeles Kings,Edmonton Oilers
3/30/22,Vegas Golden Knights,Seattle Kraken
3/30/22,St. Louis Blues,Vancouver Canucks
3/31/22,Dallas Stars,Anaheim Ducks
3/31/22,New Jersey Devils,Boston Bruins
3/31/22,Montreal Canadiens,Carolina Hurricanes
3/31/22,Los Angeles Kings,Calgary Flames
3/31/22,San Jose Sharks,Colorado Avalanche
3/31/22,Chicago Blackhawks,Florida Panthers
3/31/22,Pittsburgh Penguins,Minnesota Wild
3/31/22,Columbus Blue Jackets,New York Islanders
3/31/22,Winnipeg Jets,Toronto Maple Leafs
4/1/22,Anaheim Ducks,Arizona Coyotes
4/1/22,Nashville Predators,Buffalo Sabres
4/1/22,Ottawa Senators,Detroit Red Wings
4/1/22,St. Louis Blues,Edmonton Oilers
4/1/22,New York Islanders,New York Rangers
4/1/22,Vegas Golden Knights,Seattle Kraken
4/1/22,Chicago Blackhawks,Tampa Bay Lightning
4/2/22,Columbus Blue Jackets,Boston Bruins
4/2/22,Minnesota Wild,Carolina Hurricanes
4/2/22,St. Louis Blues,Calgary Flames
4/2/22,Pittsburgh Penguins,Colorado Avalanche
4/2/22,Florida Panthers,New Jersey Devils
4/2/22,Washington Capitals,Nashville Predators
4/2/22,Toronto Maple Leafs,Philadelphia Flyers
4/2/22,Dallas Stars,San Jose Sharks
4/2/22,Montreal Canadiens,Tampa Bay Lightning
4/2/22,Los Angeles Kings,Winnipeg Jets
4/3/22,Edmonton Oilers,Anaheim Ducks
4/3/22,Florida Panthers,Buffalo Sabres
4/3/22,Arizona Coyotes,Chicago Blackhawks
4/3/22,New York Islanders,New Jersey Devils
4/3/22,Philadelphia Flyers,New York Rangers
4/3/22,Detroit Red Wings,Ottawa Senators
4/3/22,Dallas Stars,Seattle Kraken
